Category,Subcategory,Name,Date/Time/Schedule,Time/Hours,Location,Frequency/Service Type,Cost/Price,Description/Notes,Source URL
Event,Library,Preschool Storytime,2026-03-03,11:00 AM,"Fall River Public Library, 104 North Main St",Weekly (Tuesdays & Mondays),Free,"Stories, literacy movie, craft for ages 3-5",https://fallriverlibrary.org/events
Event,Library,Historical Fiction Book Club,2026-03-02,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Adult book club focused on historical fiction,https://fallriverlibrary.org/events
Event,Library,Bookmobile at River Falls Senior Living,2026-03-02,10:00 AM,"River Falls Senior Living, Fall River",Monthly,Free,Bookmobile visit to senior living community,https://fallriverlibrary.org/events
Event,Library,Play & Learn,2026-03-04,10:00 AM,"Fall River Public Library, 104 North Main St",Weekly (Wednesdays),Free,Early childhood play and learning program,https://fallriverlibrary.org/events
Event,Library,English Conversation Group,2026-03-04,6:00 PM,"Fall River Public Library, 104 North Main St",Weekly (Wednesdays),Free,"Practice English speaking and listening skills, beginners welcome",https://fallriverlibrary.org/events
Event,Library,Head Start Program,2026-03-05,10:00 AM,"Fall River Public Library, 104 North Main St",Weekly (Thursdays),Free,Early childhood education program,https://fallriverlibrary.org/events
Event,Library,Knitting Club,2026-03-05,1:00 PM,"Fall River Public Library, 104 North Main St",Weekly (Thursdays),Free,"Knitting and crochet group, beginners welcome",https://fallriverlibrary.org/events
Event,Library,Teen Game Night,2026-03-05,5:30 PM,"Fall River Public Library, 104 North Main St",Monthly (1st Thursday),Free,Multiplayer video games for teens ages 13-18,https://fallriverlibrary.org/events
Event,Library,Chess Club,2026-03-07,12:30 PM,"Fall River Public Library, 104 North Main St",Weekly (Saturdays),Free,Chess for all skill levels,https://fallriverlibrary.org/events
Event,Library,Author Talk: Lida Perry - Aging with Joy,2026-03-09,6:00 PM,"Fall River Public Library, 104 North Main St",One-time,Free,Local author discusses her book on aging gracefully,https://fallriverlibrary.org/events
Event,Library,The Great LEGO Leprechaun Trap Challenge!,2026-03-10,6:00 PM,"Fall River Public Library, 104 North Main St",One-time,Free,"Build a leprechaun trap with LEGOs, winner gets a prize",https://fallriverlibrary.org/events
Event,Library,Board of Library Trustees Meeting,2026-03-11,3:00 PM,"Fall River Public Library, 104 North Main St",Monthly,Free,Public library board meeting,https://fallriverlibrary.org/events
Event,Library,Magic: The Gathering Commander Club,2026-03-11,6:00 PM,"Fall River Public Library, 104 North Main St",Bi-weekly,Free,MTG Commander for teens and adults 13+,https://fallriverlibrary.org/events
Event,Library,Writing Group,2026-03-11,6:00 PM,"Fall River Public Library, 104 North Main St",Monthly (2nd Wednesday),Free,Creative writing community and feedback group,https://fallriverlibrary.org/events
Event,Library,Wire and Bead Crystal Hanger Craft,2026-03-12,6:00 PM,"Fall River Public Library, 104 North Main St",One-time,Free,"Wire wrapping craft workshop with Craftyish Shop, registration required",https://fallriverlibrary.org/events
